code,name_short,gender,function,country,nationality,height,weight,disciplines,events,birth_date,occupation,education,family,lang
1954879,FAMERA M,Male,Athlete,Spain,Spain,201,0,['Water Polo'],['Men'],4/11/1988,Athlete,,,"Czech, Slovak, Spanish"
1954880,FORCA ARIZA J,Female,Athlete,Spain,Spain,173,0,['Water Polo'],['Women'],7/06/1996,Athlete,,"Partner, Albert Quereda","Catalan, Spanish"
1954881,GARCIA GODOY M,Female,Athlete,Spain,Spain,188,0,['Water Polo'],['Women'],17/10/1990,"Athlete, business owner",Studied Advertising and Public Relations at Autonomous University of Barcelona (ESP),"Brother, Victor","Catalan, English, Spanish"
1954883,GRANADOS ORTEGA A,Male,Athlete,Spain,Spain,192,0,['Water Polo'],['Men'],8/10/1998,Athlete,Studied Law,Older brother,"Catalan, English, Spanish"
1954885,LARUMBE GONFAUS M,Male,Athlete,Spain,Spain,193,0,['Water Polo'],['Men'],30/05/1994,"Athlete, engineer",Graduated in 2019 with a master's degree in Chemical Engineering from University of Barcelona (ESP),,"Catalan, English, Spanish"
1954886,LEITON ARRONES P,Female,Athlete,Spain,Spain,189,0,['Water Polo'],['Women'],27/04/2000,"Athlete, student","Studied at High Performance Centre of Sant Cugat (Sant Cugat del Valles, ESP)",,"Catalan, Spanish"
1954887,LORRIO E,Male,Athlete,Spain,Spain,193,0,['Water Polo'],['Men'],25/09/1993,,"Graduated in 2016 with a degree in Criminology from Rey Juan Carlos University (Madrid, ESP)",,Spanish
1954890,MUNARRIZ EGANA A,Male,Athlete,Spain,Spain,197,0,['Water Polo'],['Men'],19/05/1994,Athlete,"Studied Industrial Engineering at Polytechnic University of Catalonia (Barcelona, ESP)","Daughters, Clara and Gabriela",Spanish
1954893,ORTIZ B,Female,Athlete,Spain,Spain,176,0,['Water Polo'],['Women'],21/06/1995,Athlete,Studied Communications at Autonomous University of Barcelona (ESP),"Father, David. Mother, Lola","Catalan, Spanish"
1954894,PENA P,Female,Athlete,Spain,Spain,175,0,['Water Polo'],['Women'],4/04/1986,Athlete,,,"English, Spanish"
1954895,PEREZ VIVAS N,Female,Athlete,Spain,Spain,169,0,['Water Polo'],['Women'],10/04/2003,Athlete,,,Spanish
1954896,PERRONE ROCHA F,Male,Athlete,Spain,Spain,183,0,['Water Polo'],['Men'],27/02/1986,"Athlete, coach",Studied Business Administration,"Older brother, Ricardo. Son, Nikola","English, Italian, Portuguese, Spanish"
1954897,PIRALKOVA COELLO I,Female,Athlete,Spain,Spain,173,0,['Water Polo'],['Women'],23/06/2005,Athlete,,"Father, Svilen",Spanish
1954900,RUIZ BARRIL E,Female,Athlete,Spain,Spain,171,0,['Water Polo'],['Women'],29/10/2004,"Athlete, student",Studies Physical Activity and Sport Sciences at Institut Nacional d'Educació Física de Catalunya (ESP),"Older sister, Ariadna","Catalan, Spanish"
1954901,SANAHUJA B,Male,Athlete,Spain,Spain,192,0,['Water Polo'],['Men'],21/10/2000,Athlete,,,Spanish
1954902,TAHULL COMPTE R,Male,Athlete,Spain,Spain,196,0,['Water Polo'],['Men'],11/05/1997,Athlete,,"Partner, Berta Ferreras","Catalan, Spanish"
1954903,TERRE M,Female,Athlete,Spain,Spain,175,0,['Water Polo'],['Women'],28/08/2002,"Athlete, student","Studies Global Studies in English at Pompeu Fabra University (Barcelona, ESP)",,Spanish
1954910,NAPOLES C,Male,Athlete,Cuba,Cuba,180,0,['Athletics'],"[""Men's Triple Jump""]",27/11/1998,Athlete,,"Father, Juan Gualberto. Two older siblings",Spanish
1954925,CUNHA TAVARES CAR,Female,Athlete,Brazil,Brazil,0,0,['Rowing'],"[""Women's Single Sculls""]",25/05/1995,Athlete,,,Portuguese
1954929,VERTHEIN FERREIRA,Male,Athlete,Brazil,Brazil,0,0,['Rowing'],"[""Men's Single Sculls""]",12/05/1998,Athlete,,,Portuguese
1954941,IAKOPO F,Female,Athlete,American Samoa,United States,152,0,['Athletics'],"[""Women's 100m""]",10/02/2006,,,"Father, Stanley. Mother, Priscilla",English
1954948,SILVA B,Female,Athlete,Brazil,Brazil,174,63,['Rugby Sevens'],['Women'],22/07/1998,Athlete,,"Husband, Luiz (married 2022). Father, Jucelino. Mother, Ana Maria","English, Portuguese"
1954954,LIMA G,Female,Athlete,Brazil,Brazil,171,65,['Rugby Sevens'],['Women'],2/08/1994,Athlete,,,Portuguese
1954956,GOMES dos SANTOS G,Female,Athlete,Brazil,Brazil,166,64,['Rugby Sevens'],['Women'],18/08/2003,Athlete,,,Portuguese
1954957,LOPES I,Female,Athlete,Brazil,Brazil,167,68,['Rugby Sevens'],['Women'],3/08/1997,,,,
1954959,dos SANTOS SILVA L,Female,Athlete,Brazil,Brazil,160,56,['Rugby Sevens'],['Women'],23/10/1996,Athlete,,,Portuguese
1954961,CAMPOS L,Female,Athlete,Brazil,Brazil,165,68,['Rugby Sevens'],['Women'],30/07/1990,Athlete,"Studied Gastronomy at the Universidade do Vale do Rio dos Sinos (Sao Leopoldo, BRA)","Partner, Endy Willian","English, Portuguese"
1954962,SOUZA M,Female,Athlete,Brazil,Brazil,177,76,['Rugby Sevens'],['Women'],22/07/1996,Athlete,,,Portuguese
1954963,NICOLAU M,Female,Athlete,Brazil,Brazil,160,70,['Rugby Sevens'],['Women'],16/11/1997,Athlete,Physical Education,,Portuguese
